,term,rank
0,bbm,0.24895085341241635
1,pertamina,0.4951611090234389
2,harga,0.6563819469888982
3,bakar,0.6195324341754864
4,depo,0.45370962651513314
5,daftar,0.28867897815655746
6,untung,0.271304780397135
7,info,0.3118445751691207
8,tampil,0.43242447756784735
9,keren,0.43242447756784735
10,style,0.43242447756784735
11,anime,0.43242447756784735
12,follow,0.43242447756784735
13,distroartonline,0.43242447756784735
14,sms,0.43242447756784735
15,bbmbaf,0.43242447756784735
16,nama,0.2142817723662101
17,subsidi,0.44624255297884996
18,support,0.1233444819658288
19,he,0.1233444819658288
20,nahi,0.08194213836890724
21,yana,0.1233444819658288
22,ani,0.16388427673781447
23,te,0.08194213836890724
24,shiv,0.08194213836890724
25,plumpang,0.41080325368945503
26,pakai,0.4915983534455528
27,mobil,0.20712769093585967
28,terima,0.21688162652009682
29,dapet,0.18087501978180598
30,komisi,0.18087501978180598
31,tambah,0.18087501978180598
32,uang,0.18087501978180598
33,jajan,0.18087501978180598
34,buru,0.18087501978180598
35,bro,0.18087501978180598
36,reseller,0.18087501978180598
37,bda,0.18087501978180598
38,dongcaste,0.26126391746260863
39,website,0.26126391746260863
40,profesional,0.26126391746260863
41,jangkau,0.26126391746260863
42,tunggu,0.26126391746260863
43,minat,0.26126391746260863
44,hub,0.26126391746260863
45,fbabb,0.26126391746260863
46,kena,0.11197025034111797
47,jahil,0.11197025034111797
48,temen,0.11197025034111797
49,pas,0.11197025034111797
